1,NTE-2024-00001,1,Attacker used Tor browser — IP tracing very difficult. Need to analyze attack patterns.,0,3,2026-05-15 19:54:47.910
2,NTE-2024-00002,1,HBL security team cooperating fully. Provided server access within 2 hours.,0,3,2026-05-15 19:54:47.910
3,NTE-2024-00003,2,Phishing domain registered only 24 hours before attack — typical throwaway technique.,0,4,2026-05-15 19:54:47.910
4,NTE-2024-00004,2,Jazz IT team slow to respond. Escalated to their CISO directly.,1,4,2026-05-15 19:54:47.910
5,NTE-2024-00005,3,FBR refused to pay ransom. Good decision. Backup restoration underway.,0,5,2026-05-15 19:54:47.910
6,NTE-2024-00006,3,Ransomware entered through unpatched Windows Server 2016. Patch management failure.,0,5,2026-05-15 19:54:47.910
8,NTE-2024-00008,4,NADRA audit shows 2300 citizen records accessed without authorization.,0,6,2026-05-15 19:54:47.910
9,NTE-2024-00009,6,Telenor breach possibly linked to insider. Still investigating internal access logs.,1,3,2026-05-15 19:54:47.910
10,NTE-2024-00010,7,MCB attack from same IP range as UBL attack in December 2023.,0,4,2026-05-15 19:54:47.910
11,NTE-2024-00011,8,USB ports should have been disabled on all government PCs. Security policy failure.,0,5,2026-05-15 19:54:47.910
12,NTE-2024-00012,11,APT group signature matches Lazarus Group techniques. Possible state sponsored.,1,8,2026-05-15 19:54:47.910
13,NTE-2024-00013,12,Zero day exploit extremely sophisticated. Likely purchased from dark web.,0,9,2026-05-15 19:54:47.910
14,NTE-2024-00014,13,Bilal Nawaz had financial debts. Competitor bank may have paid for customer data.,1,3,2026-05-15 19:54:47.910
15,NTE-2024-00015,15,Two arrested suspects revealed ring operating for 8 months across 4 cities.,0,5,2026-05-15 19:54:47.910
