1,RPT-2024-00001,1,HBL Bank SQL Injection — Final Report,FINAL: SQL injection confirmed. Attacker from Tor node in Germany. Customer data compromised. Escalated to FIA.,Final,1,2026-05-15 19:54:47.893
2,RPT-2024-00002,2,Jazz Phishing — AI Summary,AI: Large phishing campaign on Jazz customers. Domain taken down. Customer alert issued. 2FA recommended.,AI Generated,4,2026-05-15 19:54:47.893
3,RPT-2024-00003,3,FBR Ransomware — Incident Report,INCIDENT: WannaCry ransomware on FBR. Systems isolated. Backup restoration in progress. MS17-010 patch deploying.,Manual,5,2026-05-15 19:54:47.893
4,RPT-2024-00004,4,NADRA Insider Threat — Final Report,FINAL: Insider Ahmed Raza confirmed. Database logs and CCTV evidence secured. FIR filed. Case closed.,Final,6,2026-05-15 19:54:47.893
5,RPT-2024-00005,6,Telenor Data Breach — Investigation,INVESTIGATION: Customer data breach confirmed. Dark web listing found. Source still under investigation.,Manual,3,2026-05-15 19:54:47.893
6,RPT-2024-00006,7,MCB Brute Force — AI Report,AI: Brute force on MCB banking. CAPTCHA and lockout implemented. IP blocked. No successful compromises.,AI Generated,4,2026-05-15 19:54:47.893
7,RPT-2024-00007,11,Minister Office APT — Confidential,CONFIDENTIAL: State sponsored APT confirmed. Systems isolated. National cybersecurity authority notified.,Final,8,2026-05-15 19:54:47.893
8,RPT-2024-00008,12,Apache Zero Day — Technical Report,TECHNICAL: Zero day on Apache 2.4 confirmed. Server offline. Vulnerability reported to Apache team.,Manual,9,2026-05-15 19:54:47.893
9,RPT-2024-00009,13,Meezan Bank Insider — Legal Report,LEGAL: Bilal Nawaz data theft confirmed. USB forensics secured. FIR filed under PECA 2016 Section 14.,Final,3,2026-05-15 19:54:47.893
10,RPT-2024-00010,15,Identity Theft Ring — Intelligence,INTELLIGENCE: 5 members identified. 2 arrested. 50 fraudulent accounts frozen. Investigation continuing.,Manual,5,2026-05-15 19:54:47.893
